comuna,region
Doñihue,VI del Libertador General Bernardo O'Higgins
Vitacura,Metropolitana de Santiago
Paine,Metropolitana de Santiago
Lolol,VI del Libertador General Bernardo O'Higgins
Nancagua,VI del Libertador General Bernardo O'Higgins
San Felipe,V de Valparaíso
Alto Biobío,VIII del Bío-Bío
Purén,IX de La Araucanía
Traiguén,IX de La Araucanía
Olmué,V de Valparaíso
Contulmo,VIII del Bío-Bío
Diego de Almagro,III de Atacama
Mariquina,XIV de Los Ríos
Maullín,X de Los Lagos
Hijuelas,V de Valparaíso
Porvenir,XII de Magallanes y de La Antártica Chilena
San Pedro de la Paz,VIII del Bío-Bío
Maipú,Metropolitana de Santiago
Lampa,Metropolitana de Santiago
Pencahue,VII del Maule
Hualañé,VII del Maule
Rancagua,VI del Libertador General Bernardo O'Higgins
Isla de Maipo,Metropolitana de Santiago
La Ligua,V de Valparaíso
Chañaral,III de Atacama
Cabildo,V de Valparaíso
Cañete,VIII del Bío-Bío
Pucón,IX de La Araucanía
Portezuelo,XVI de Ñuble
Santa Bárbara,VIII del Bío-Bío
Ollagüe,II de Antofagasta
Mulchén,VIII del Bío-Bío
Vilcún,IX de La Araucanía
Pitrufquén,IX de La Araucanía
Paiguano,IV de Coquimbo
Retiro,VII del Maule
La Estrella,VI del Libertador General Bernardo O'Higgins
María Elena,II de Antofagasta
Purranque,X de Los Lagos
Tomé,VIII del Bío-Bío
Cochrane,XI de Aysén del General Carlos Ibáñez del Campo
Lota,VIII del Bío-Bío
Huara,I de Tarapacá
Temuco,IX de La Araucanía
Lo Espejo,Metropolitana de Santiago
Caldera,III de Atacama
Carahue,IX de La Araucanía
Rengo,VI del Libertador General Bernardo O'Higgins
Pirque,Metropolitana de Santiago
Ancud,X de Los Lagos
Alto del Carmen,III de Atacama
Zapallar,V de Valparaíso
San Joaquín,Metropolitana de Santiago
Tiltil,Metropolitana de Santiago
Peñalolén,Metropolitana de Santiago
La Florida,Metropolitana de Santiago
Primavera,XII de Magallanes y de La Antártica Chilena
Alhué,Metropolitana de Santiago
Lo Barnechea,Metropolitana de Santiago
Peumo,VI del Libertador General Bernardo O'Higgins
Guaitecas,XI de Aysén del General Carlos Ibáñez del Campo
Nueva Imperial,IX de La Araucanía
Río Negro,X de Los Lagos
San Clemente,VII del Maule
Río Claro,VII del Maule
La Unión,XIV de Los Ríos
Requínoa,VI del Libertador General Bernardo O'Higgins
Navidad,VI del Libertador General Bernardo O'Higgins
Taltal,II de Antofagasta
Pinto,XVI de Ñuble
Saavedra,IX de La Araucanía
Perquenco,IX de La Araucanía
Tucapel,VIII del Bío-Bío
Cunco,IX de La Araucanía
Licantén,VII del Maule
Monte Patria,IV de Coquimbo
Rinconada,V de Valparaíso
Coihaique,XI de Aysén del General Carlos Ibáñez del Campo
Los Ángeles,VIII del Bío-Bío
Quemchi,X de Los Lagos
San Rafael,VII del Maule
Colbún,VII del Maule
Los Andes,V de Valparaíso
Las Cabras,VI del Libertador General Bernardo O'Higgins
Puerto Varas,X de Los Lagos
Marchihue,VI del Libertador General Bernardo O'Higgins
San Ramón,Metropolitana de Santiago
Frutillar,X de Los Lagos
