nproyecto,nrecurso
Celite - Tilviche,75773-26740-LB
PureFunds ETFx HealthTech ETF,34339-73469-DD
RenaissanceRe Holdings Ltd.,54011-96023-OK
"Sierra Oncology, Inc.",2244-72747-GF
Voya Global Equity Dividend and Premium Opportunity Fund,17957-30003-BH
Yelp Inc.,43389-17096-KF
Brookfield Global Listed Infrastructure Income Fund,2002-34561-KI
United Insurance Holdings Corp.,63367-11983-DJ
Lomas Bayas,2504-44007-AF
SQM - Nueva Victoria,33320-81227-MN
"CatchMark Timber Trust, Inc.",62440-59688-NJ
Walter Investment Management Corp.,68967-37715-HF
Esterline Technologies Corporation,97979-38840-LN
PowerShares Golden Dragon China Portfolio,38180-81955-HN
Merus Labs International Inc.,63660-87622-GK
Forum Merger Corporation,27387-51955-DB
CoreSite Realty Corporation,63474-79491-NL
"First Financial Bankshares, Inc.",78084-20738-MG
Nuveen Energy MLP Total Return Fund,91317-16257-JD
PureFunds ETFx HealthTech ETF,68274-28037-DB
Bronce de Petorca,69769-48009-DF
"Appliance Recycling Centers of America, Inc.",21666-4918-LM
Azul S.A.,22045-72513-HE
PowerShares Nasdaq Internet Portfolio,75254-18562-BG
Apollo Senior Floating Rate Fund Inc.,2063-7789-BO
"Hub Group, Inc.",905-28507-GO
"Gray Television, Inc.",52333-84416-IN
Refugio,12535-65611-EJ
"The Travelers Companies, Inc.",50401-33014-MH
HollyFrontier Corporation,82881-34480-EO
"Western Refining Logistics, LP",11817-9928-JE
EPR Properties,61746-68518-BJ
"Urban One, Inc. ",43657-42960-IA
Regal Entertainment Group,95243-20001-GH
Arenal,29968-9653-BF
Cerro Colorado,21783-68052-KN
Nuveen Floating Rate Income Fund,86130-28257-LF
Moog Inc.,28723-63556-FF
Chimberos,50919-91480-IB
"Texas Capital Bancshares, Inc.",48923-74984-LA
"Edge Therapeutics, Inc.",34895-60990-HB
"Ocular Therapeutix, Inc.",93654-84379-HB
Don Alberto,82408-35174-LM
Lomas Bayas,45508-69257-DF
"Franklin Financial Network, Inc.",79471-48968-ND
First Trust South Korea AlphaDEX Fund,41836-71920-MK
Western Asset Bond Fund,33283-88636-LE
Pinatolca,63370-35624-OO
"JA Solar Holdings, Co., Ltd.",26813-55880-DM
Yahoo! Inc.,5183-96112-KG
Cabot Corporation,7010-70680-FA
"Spark Energy, Inc.",76528-76227-MG
Esterline Technologies Corporation,89919-27603-MB
Novanta Inc.,48630-14370-IB
NVIDIA Corporation,62543-40284-BD
"Edge Therapeutics, Inc.",26814-5298-OG
San José,76367-17037-EB
AGCO Corporation,65336-66323-EG
Dynatronics Corporation,52920-15732-BN
"Fiserv, Inc.",52585-5864-NH
Nuveen Floating Rate Income Fund,90536-26795-IB
GlaxoSmithKline PLC,86941-76654-DH
"Franklin Financial Network, Inc.",39666-22807-DD
Celite - Tana,99064-65353-KE
Patriot National Bancorp Inc.,92225-62303-OF
Hamilton Lane Incorporated,1170-92553-IG
Georgia Power Company,50895-76296-JG
Sierra Gorda,54809-98309-LJ
Collahuasi,6667-24651-BA
Antucoya,46794-50871-AM
Nabriva Therapeutics AG,81562-88231-NG
Carola,70940-430-BI
B.O.S. Better Online Solutions,90711-94912-BI
