fecha dictamen,numero
2008-11-29,75773-26740-LB
2015-05-14,34339-73469-DD
2011-01-22,54011-96023-OK
2016-03-31,2244-72747-GF
2018-11-26,17957-30003-BH
2005-06-10,2504-44007-AF
2016-08-08,33320-81227-MN
2018-03-02,62440-59688-NJ
2017-01-05,68967-37715-HF
2009-07-08,38180-81955-HN
1992-04-09,63660-87622-GK
2013-12-12,63474-79491-NL
2019-09-03,68274-28037-DB
2016-08-23,21666-4918-LM
2012-06-14,22045-72513-HE
2017-09-12,75254-18562-BG
2016-10-13,2063-7789-BO
2018-05-10,52333-84416-IN
2002-09-22,12535-65611-EJ
2013-03-11,50401-33014-MH
2004-09-08,82881-34480-EO
2012-05-28,11817-9928-JE
2017-05-12,61746-68518-BJ
2019-03-13,43657-42960-IA
2015-04-04,95243-20001-GH
2016-04-16,29968-9653-BF
2015-11-08,21783-68052-KN
2017-09-21,86130-28257-LF
2018-07-12,28723-63556-FF
1989-06-20,50919-91480-IB
1992-05-19,34895-60990-HB
2019-04-01,93654-84379-HB
2014-09-11,45508-69257-DF
2007-01-16,79471-48968-ND
2002-10-25,33283-88636-LE
2019-06-13,26813-55880-DM
2018-09-13,5183-96112-KG
2014-06-10,7010-70680-FA
2008-12-22,76528-76227-MG
2018-03-20,89919-27603-MB
2008-12-25,62543-40284-BD
2019-03-21,26814-5298-OG
2014-04-27,65336-66323-EG
2013-04-19,52920-15732-BN
2018-02-13,52585-5864-NH
2019-05-07,90536-26795-IB
2017-04-14,39666-22807-DD
2005-02-08,99064-65353-KE
1985-07-16,1170-92553-IG
2019-07-07,54809-98309-LJ
2016-09-19,6667-24651-BA
2017-07-18,46794-50871-AM
1989-10-21,81562-88231-NG
1995-06-10,70940-430-BI
2019-10-08,90711-94912-BI
2016-09-09,26406-19514-LB
2016-02-22,48926-92957-FH
2006-03-11,20966-2287-GN
1998-05-12,23725-83303-FI
2013-04-12,8987-8726-FE
2018-06-09,84716-95928-KB
2001-01-08,60301-70021-OB
2017-02-09,51770-46932-EK
2013-06-20,17540-59554-MM
2012-05-21,70317-1761-FJ
2017-04-02,42348-65185-JM
2013-12-20,6084-94035-EK
2011-04-13,84505-25280-OE
1995-04-10,80263-91423-JK
2012-12-25,59400-50499-AL
1999-04-15,35920-79778-IJ
2012-02-19,6950-31233-BM
2016-06-29,23974-56394-KG
2011-11-05,74438-67958-OM
2011-01-12,75740-71991-BI
2005-02-25,36229-99833-LA
2018-10-20,48173-64138-BI
2011-11-18,84593-9887-DF
2016-10-13,88112-12976-BF
2018-08-23,67378-80654-OO
1999-10-11,51931-4621-AL
2015-09-14,19015-83580-IH
2007-04-26,39136-17233-HN
2019-08-26,24664-97780-FO
2004-10-08,73886-44546-MF
2010-02-09,97192-64062-AO
2017-10-26,15045-27259-FJ
2013-04-24,2822-26741-BG
2014-09-24,74086-28599-NL
2013-05-02,87206-56691-GM
1998-05-18,27527-47716-IK
1985-01-19,44493-60653-BO
2017-08-20,65366-46587-EL
2019-10-08,87180-19666-IF
2017-09-17,72733-88690-FH
2011-01-30,33426-96929-BL
2014-10-07,74539-38234-JK
2009-11-03,42300-42306-GD
2002-03-13,99914-80641-FK
2017-05-06,84184-36811-OM
2014-03-30,93640-42901-JL
2018-06-04,23813-70951-DA
2019-09-08,13715-63027-LB
1998-02-21,64706-42638-JA
2019-04-03,40424-47863-HD
1995-01-10,35774-44847-IM
2011-06-29,4395-52016-DM
2018-01-04,49811-4830-BB
2002-02-08,84778-14286-BI
2019-09-01,15489-36709-BL
2016-10-24,44898-65648-NL
2018-05-01,47842-38319-FL
1996-06-08,70840-46159-IA
2001-06-07,95619-82163-MF
2018-03-25,77044-72351-BI
2016-06-26,74461-72782-EB
2011-11-30,16503-37302-BD
1988-10-12,772-77603-DB
2016-03-02,18642-73174-BB
2014-09-22,17228-3064-MM
2014-11-15,27069-62591-KF
2009-03-28,46089-64886-FD
2019-08-05,3745-30024-FG
2019-07-19,77927-41652-AE
2019-08-27,99473-82631-BE
2018-07-04,46312-65664-OI
2016-02-13,90429-36681-LM
2018-02-27,56670-69690-NE
2005-03-16,94976-35914-BB
2013-04-23,53700-56432-IB
2011-06-09,87920-12322-GM
2016-06-01,95580-80242-AG
2017-06-17,75641-27577-KE
2012-01-20,11698-17269-GG
2019-12-08,70803-2500-FA
2004-01-04,73341-28996-HD
2018-12-04,37724-4760-EE
2014-07-22,29414-34696-KF
2019-02-08,37166-48188-KE
1999-12-29,51806-27866-EI
1997-10-31,76889-13160-GM
2000-04-08,83687-78588-BF
2005-11-01,40525-27952-FH
2018-10-08,87079-72213-HH
2017-11-08,34823-55667-OO
2018-03-14,57366-40429-DK
2005-09-11,50662-64907-DB
2011-04-12,18261-63848-NB
2017-01-31,46357-59986-GB
2018-07-26,23413-42861-IJ
2017-08-04,37480-31228-AO
2018-12-30,61983-62485-LB
2019-06-26,28904-6829-DK
